"name","name_alt1","name_alt2","name_alt3","name_alt4","abbreviation","type","uniqid","statements","appearances"
"Dairy Australia",NA,NA,NA,NA,NA,"Business","933",117,282
"Dairy Goat Society of Australia","Dairy Goat Society",NA,NA,NA,NA,"Business","934",0,1
"Dairy Industry Association of Australia","Dairy Industry Association",NA,NA,NA,NA,"Business","935",0,6
"Damara Sheep Breeders Society of Australia","Damara Sheep Breeders Society",NA,NA,NA,NA,"Business","937",0,0
"Deer Industry Association of Australia","Deer Industry Association",NA,NA,NA,NA,"Business","946",0,0
"Devon Cattle Breeders Society of Australia","Devon Cattle Breeders Society",NA,NA,NA,NA,"Business","953",0,0
"Distilled Spirits Industry Council of Australia","Distilled Spirits Industry Council",NA,NA,NA,NA,"Business","962",0,3
"Dorper Sheep Society of Australia","Dorper Sheep Society",NA,NA,NA,NA,"Business","967",0,4
"Dried Fruits Australia",NA,NA,NA,NA,NA,"Business","969",0,3
"Australian Veterinary Association","Australian Cattle Veterinarians","Equine Veterinarians Australia",NA,NA,NA,"Professional","997",45,284
"Essential Oil Producers Association of Australia","Essential Oil Producers Association",NA,NA,NA,NA,"Business","999",0,0
"Field and Game Australia",NA,NA,NA,NA,"FGA","Citizen","1030",0,19
"Food and Beverage Importers Association",NA,NA,NA,NA,NA,"Business","1047",0,1
"ForestWorks",NA,NA,NA,NA,"IFA","Business","1051",0,2
"Free Range Egg and Poultry Australia","Free Range Egg and Poultry",NA,NA,NA,NA,"Business","1056",0,3
"Fruit Juice Australia","Australian Beverages",NA,NA,NA,NA,"Business","1064",3,278
"Australian Small Animal Veterinary Association",NA,NA,NA,NA,NA,"Professional","20078",0,0
"Goat Industry Council of Australia","Goat Industry Council",NA,NA,NA,NA,"Business","1090",0,1
"Grain Growers Association","Grain Growers' Association",NA,NA,NA,NA,"Business","1096",6,11
"Grain Producers Australia","Grain Producers' Australia",NA,NA,NA,NA,"Business","1097",30,71
"Grassland Society of Southern Australia","Grassland Society",NA,NA,NA,NA,"Business","1101",0,0
"Hazelnut Growers of Australia",NA,NA,NA,NA,NA,"Business","1117",0,1
"Holstein-Friesian Association of Australia","Holstein-Friesian Association",NA,NA,NA,NA,"Business","1132",0,0
"Humane Research Australia","Humane Research",NA,NA,NA,NA,"Citizen","1143",9,18
"Irrigation Australia Limited","Irrigation Australia",NA,NA,NA,NA,"Business","1196",1,1
"Jersey Australia",NA,NA,NA,NA,NA,"Business","1205",0,3
"lllawarra Cattle Society of Australia","Illawarras Australia","lllawarra Cattle Society",NA,NA,NA,"Business","1233",0,0
"Maize Association of Australia","Maize Associatio",NA,NA,NA,NA,"Business","1240",0,0
"Master Fish Merchants' Association of Australia","Master Fish Merchants' Association","Master Fish Merchants Association of Australia","Master Fish Merchants Association",NA,NA,"Business","1248",0,1
"Master Grocers Australia","Master Grocers",NA,NA,NA,NA,"Business","1249",8,42
"Medical Advances Without Animals Trust",NA,NA,NA,NA,NA,"Service","1257",0,0
"Mohair Australia",NA,NA,NA,NA,NA,"Business","1279",0,1
"Murray Grey Beef Cattle Society Ltd","Murray Grey Beef Cattle Society",NA,NA,NA,NA,"Business","1285",0,0
"National Aquaculture Council",NA,NA,NA,NA,NA,"Business","1296",0,1
"National Association for Sustainable Agriculture Australia","National Association for Sustainable Agriculture",NA,NA,NA,NA,"Business","1299",0,10
"National Association of Agricultural Educators",NA,NA,NA,NA,NA,"Professional","1301",0,0
"National Baking Industry Association",NA,NA,NA,NA,"NBIA","Business","1313",0,4
"National Council of Wool Selling Brokers of Australia","National Council of Wool Selling Brokers",NA,NA,NA,NA,"Business","1325",0,10
"National Farmers' Federation","National Farmers Federation",NA,NA,NA,NA,"Business","1334",257,1460
"National Herd Improvement Association of Australia Inc","National Herd Improvement Association",NA,NA,NA,NA,"Business","1342",0,0
"Nursery and Garden Industry Australia","Greenlife Industry Australia","Nursery and Garden Industry","Greenlife Industry",NA,NA,"Business","1385",3,15
"Onions Australia",NA,NA,NA,NA,NA,"Business","1395",2,5
"Organic Agriculture Association Inc","Organic Agriculture Association",NA,NA,NA,NA,"Business","1399",0,0
"Organic Federation of Australia","Organic Industries","Organic Federation",NA,NA,NA,"Business","1400",0,2
"Angus Australia","Angus Society of Australia","Angus Society",NA,NA,NA,"Business","10637",1,4
"Passionfruit Australia Inc","Passionfruit Australia",NA,NA,NA,NA,"Business","1421",0,0
"Pet Food Industry Association of Australia","Pet Food Industry Association",NA,NA,NA,NA,"Business","1423",2,9
"Pet Industry Association of Australia","Pet Industry Association",NA,NA,NA,NA,"Business","1424",7,11
"Pistachio Growers Association",NA,NA,NA,NA,NA,"Business","1431",0,0
"Potato Processors Association of Australia","Potato Processors Association",NA,NA,NA,NA,"Business","1447",0,0
"Private Treaty Wool Merchants of Australia Inc","Private Treaty Wool Merchants of Australia","Private Treaty Wool Merchants",NA,NA,NA,"Business","1456",0,0
"Institute of Foresters of Australia","Institute of Foresters",NA,NA,NA,NA,"Professional","20126",0,5
"Protected Cropping Australia","Protected Cropping",NA,NA,NA,NA,"Business","1468",0,0
"Pulse Australia",NA,NA,NA,NA,NA,"Business","1475",3,7
"Red Meat Advisory Council",NA,NA,NA,NA,"RMAC","Business","1482",21,50
"Ricegrowers Association of Australia","Ricegrowers Association",NA,NA,NA,NA,"Business","1499",2,1
"RSPCA Australia",NA,NA,NA,NA,NA,"Citizen","1518",32,68
"Santa Gertrudis Breeders Association",NA,NA,NA,NA,NA,"Business","1523",0,1
"Seafood Services Australia","Seafood Services",NA,NA,NA,NA,"Business","1536",0,0
"Shearing Contractors' Association of Australia","Shearing Contractors' Association","Shearing Contractors Association of Australia","Shearing Contractors Association",NA,NA,"Business","1547",0,0
"Sheepmeat Council of Australia","Sheep Producers Australia","Sheepmeat Council","Sheep Producers",NA,NA,"Business","1548",15,34
"Shorthorn Beef",NA,NA,NA,NA,NA,"Business","1551",0,3
"South Devon Cattle Society of Australia Inc","South Devon Cattle Society of Australia","South Devon Cattle Society",NA,NA,NA,"Business","1569",0,0
"Raspberries and Blackberries Australia","Raspberries and Blackberries",NA,NA,NA,NA,"Business","20161",0,0
"Australian Blueberry Growers Association","Berries Australia","Australian Blueberry Growers' Association",NA,NA,NA,"Business","1596",13,22
"Summerfruit",NA,NA,NA,NA,NA,"Business","1600",2,0
"Strawberries Australia",NA,NA,NA,NA,NA,"Business","20183",0,13
"Textile Distributors Association",NA,NA,NA,NA,"TDA","Business","1624",0,0
"Australian Council of Wool Exporters and Processors",NA,NA,NA,NA,NA,"Business","10724",0,0
"Timber Communities Australia","Timber Communities",NA,NA,NA,NA,"Business","1647",0,0
"Timber Trade Industrial Association",NA,NA,NA,NA,"TTIA","Business","1648",0,0
"Turf Australia",NA,NA,NA,NA,"TPA","Business","1658",2,10
"Veterinary Manufacturers and Distributors Association",NA,NA,NA,NA,NA,"Professional","1672",0,0
"Veterinary Nurses Council of Australia","Veterinary Nurses Council",NA,NA,NA,NA,"Professional","1673",1,1
"Voiceless animal protection institute","Animal protection institute",NA,NA,NA,NA,"Citizen","1679",0,4
"Wine Communicators of Australia","Wine Communicators",NA,NA,NA,NA,"Business","1694",0,2
"Wine Grape Growers Australia","Wine Grape Growers",NA,NA,NA,NA,"Business","1695",0,5
"Winemakers Federation of Australia","Winemakers Federation","Winemakers' Federation of Australia","Winemakers' Federation",NA,NA,"Business","1696",16,248
"WoolProducers Australia","WoolProducers",NA,NA,NA,NA,"Business","1705",1,12
"Australian Meat Industry Council (National Office and NSW)","Australian Meat Industry Council",NA,NA,NA,"AMIC","Business","20070",50,0
"Wool Producers",NA,NA,NA,NA,NA,"Business","10725",1,53
"Brewers Association of Australia and New Zealand",NA,NA,NA,NA,NA,"Business","20089",0,0
"Australian Specialty Coffee Association",NA,NA,NA,NA,NA,"Business","20079",4,16
"Grains Council of Australia","Grains Council",NA,NA,NA,NA,"Business","10613",0,4
"Australian Rural Youth",NA,NA,NA,NA,NA,"Citizen","10743",0,0
"Cement Concrete and Aggregates Australia","Cement and Concrete Association of Australia","Cement Concrete and Aggregates",NA,NA,NA,"Business","10540",4,15
"Accommodation Association of Australia","Accommodation Association",NA,NA,NA,"AAA","Business","8",59,66
"Advanced Association of Beauty Therapists",NA,NA,NA,NA,NA,"Professional","15",0,0
"Aerosol Association of Australia","Aerosol Association",NA,NA,NA,NA,"Business","18",0,0
"AFL Players' Association","AFL Players Association",NA,NA,NA,NA,"Professional","19",6,6
"AFL Umpires Association",NA,NA,NA,NA,"AFLUA","Professional","20",0,2
"Air Conditioning and Mechanical Contractors' Association of Australia","Air Conditioning and Mechanical Contractors' Association","Air Conditioning and Mechanical Contractors Association of Australia","Air Conditioning and Mechanical Contractors Association",NA,"RAAA","Business","30",0,0
"Air Conditioning and Refrigeration Equipment Manufacturers Association",NA,NA,NA,NA,NA,"Professional","31",0,0
"AM Institute",NA,NA,NA,NA,NA,"Professional","44",0,0
"Appita Inc","Appita",NA,NA,NA,NA,"Business","58",0,0
"Archery Australia Inc","Archery Australia",NA,NA,NA,NA,"Citizen","62",0,0
"Association for Data-driven Marketing and Advertising",NA,NA,NA,NA,NA,"Business","74",0,6
"Association for Manufacturing Excellence",NA,NA,NA,NA,NA,"Professional","75",0,0
"Association of Accounting Technicians Australia","Association of Accounting Technicians",NA,NA,NA,NA,"Professional","78",0,1
"Association of Consultants in Access, Australia","Association of Consultants in Access Australia","Association of Consultants in Acces",NA,NA,NA,"Professional","82",0,0
"Association of Financial Advisers",NA,NA,NA,NA,NA,"Professional","85",12,145
"Association of Market and Social Research Organisations",NA,NA,NA,NA,NA,"Business","90",0,8
"Association of Professional Aestheticians of Australia","Association of Professional Aestheticians",NA,NA,NA,"APAA","Professional","93",0,0
"Association of Professional Astrologers Inc","Association of Professional Astrologers",NA,NA,NA,NA,"Professional","94",0,0
"Association of Professional Color Imagers -Australia","Association of Professional Color Imagers",NA,NA,NA,NA,"Professional","95",0,0
"Association of Superannuation Funds of Australia","Association of Superannuation Funds",NA,NA,NA,NA,"Business","98",81,1163
"Association of Taxation and Management Accountants",NA,NA,NA,NA,NA,"Professional","99",0,1
"Athletics Australia",NA,NA,NA,NA,NA,"Business","105",9,82
"The Financial Services Council","Financial Services Council","Investment and Financial Services Association",NA,NA,NA,"Business","10750",347,1140
"Australian Amusement, Leisure and Recreation Association",NA,NA,NA,NA,NA,"Business","153",0,6
"Australian Association for Circus and Physical Theatre","Australian Circus and Physical Theatre Association",NA,NA,NA,NA,"Business","161",0,8
"Australian Association of National Advertisers",NA,NA,NA,NA,NA,"Business","180",11,162
"Australian Bankers' Association","Australian Banking Association","Australian Bankers Association",NA,NA,NA,"Business","197",319,1872
"Australian Bartenders Guild",NA,NA,NA,NA,NA,"Professional","199",0,0
"Australian Baseball Federation","Baseball Australia",NA,NA,NA,NA,"Business","200",1,7
"Australian Beverages Council",NA,NA,NA,NA,NA,"Business","202",25,119
"Stockbrokers Association of Australia","Security and Derivatives Industry Association","Stockbrokers Association",NA,NA,NA,"Business","1595",1,39
"Australian Booksellers Association",NA,NA,NA,NA,NA,"Business","208",10,55
"Australian Business Volunteers",NA,NA,NA,NA,NA,"Service","217",0,0
"Australian Businesswomen's Network","HerBusiness",NA,NA,NA,NA,"Professional","218",0,3
"Australian Carwash Association",NA,NA,NA,NA,NA,"Business","228",0,0
"Australian Catalogue Association",NA,NA,NA,NA,"ACA","Business","231",0,2
"Australian Chamber of Commerce and Industry",NA,NA,NA,NA,NA,"Business","237",923,2674
"Australian Collectors and Debt Buyers Association",NA,NA,NA,NA,NA,"Business","249",0,3
"Australian Communications Consumer Action Network",NA,NA,NA,NA,NA,"Citizen","263",77,230
"Australian Companies Institute",NA,NA,NA,NA,NA,"Business","266",0,0
"Australian Council of Super Investors",NA,NA,NA,NA,NA,"Business","285",0,18
"Australian Cricketers' Association","Australian Cricketers Association",NA,NA,NA,NA,"Professional","293",0,10
"Australian Die Casting Association",NA,NA,NA,NA,NA,"Business","311",0,0
"Australian Engravers and Signmakers Association Inc","Australian Engravers and Signmakers Association",NA,NA,NA,NA,"Business","320",0,0
"Australian Entertainment Agents Association Inc","Australian Entertainment Agents Association",NA,NA,NA,NA,"Professional","321",0,0
"Australian Equipment Lessors Association",NA,NA,NA,NA,NA,"Business","324",1,1
"Australian Facetors Guild Ltd","Australian Facetors Guild",NA,NA,NA,NA,"Professional","327",0,0
"Australian Federation of Employers and Industries",NA,NA,NA,NA,"AFEI","Business","334",0,3
"Australian Federation of Travel Agents",NA,NA,NA,NA,NA,"Professional","342",106,290
"Australian Fencing Federation",NA,NA,NA,NA,NA,"Business","344",0,1
"Australian Finance Conference","Australian Finance Industry Association",NA,NA,NA,NA,"Business","346",15,101
"Australian Financial Markets Association",NA,NA,NA,NA,NA,"Business","347",2,82
"Australian Fitness Network",NA,NA,NA,NA,"ESSA","Business","350",0,0
